iter	Passed	Remaining
393	749	1152
394	751	1150
395	752	1148
396	754	1145
397	756	1143
398	757	1141
399	760	1141
400	765	1143
401	767	1141
402	769	1139
403	772	1139
404	774	1137
405	775	1135
406	777	1133
407	779	1130
408	780	1127
409	782	1125
410	784	1123
411	786	1122
412	787	1119
413	789	1117
414	791	1115
415	792	1112
416	794	1110
417	795	1108
418	797	1105
419	798	1102
420	800	1100
421	801	1098
422	803	1095
423	804	1093
424	805	1090
425	807	1088
426	809	1085
427	810	1083
428	812	1081
429	813	1078
430	815	1076
431	816	1073
432	818	1072
433	820	1070
434	821	1067
435	823	1065
436	825	1063
437	827	1061
438	828	1058
439	830	1056
440	832	1055
441	834	1053
442	835	1050
443	837	1048
444	839	1046
445	840	1044
446	842	1042
447	844	1040
448	845	1037
449	847	1035
450	848	1032
451	850	1030
452	851	1028
453	853	1026
454	854	1023
